1,WF896,WF,1,1,0,0,Rose Island - RI,41.5,-71.34,10
2,WF19166,WF,1,1,0,0,Block Island Airport - RI,41.17,-71.58,10
3,WF748,WF,1,1,0,0,Beavertail - RI,41.45,-71.4,10
4,WF895,WF,1,1,0,0,Point Judith - RI,41.36,-71.5,10
5,WF19164,WF,1,1,0,0,Montauk Airport - NY,41.07,-71.92,10
6,WF913,WF,1,1,0,0,Block Island Jetty - RI,41.2,-71.59,10
7,WF42018,WF,1,1,0,0,URI - RI,41.49,-71.42,10
8,WF19181,WF,1,1,0,0,Provincetown - MA,42.07,-70.22,10
9,WF747,WF,1,1,0,0,Fogland - RI,41.56,-71.22,10
10,WF893,WF,1,1,0,0,Halfway Rock - RI,41.56,-71.33,10
11,WF19579,WF,1,1,0,0,Providence Harbor - RI,41.81,-71.4,10
12,WF43156,WF,1,1,0,0,Sakonnet Vineyard - RI,41.53,-71.19,10
13,WF903,WF,1,1,0,0,Great Gull Island - NY,41.2,-72.12,10
14,WF746,WF,1,1,0,0,Ninigrit Pond - RI,41.34,-71.69,10
15,WF19188,WF,1,1,0,0,Nantucket Airport - MA,41.25,-70.06,10
16,WF32747,WF,1,1,0,0,Buzzards Bay - MA,41.4,-71.03,10
17,WF42348,WF,1,1,0,0,Cape May - MA,38.97,-74.96,10
18,WF701,WF,1,1,0,0,West Falmouth - MA,41.6,-70.65,10
19,WF41817,WF,1,1,0,0,West Island - MA,41.58,-70.82,10
20,WF126932,WF,1,1,0,0, Woods Hole - MA,41.52,-70.68,10
21,WF721,WF,1,1,0,0,Hull - MA,42.2653,-70.8434,10
22,WF931,WF,1,1,0,0,Deer Island - MA,42.3442,-70.9528,10
23,WF889,WF,1,1,0,0,Pleasure Bay - MA,42.3307,-71.0149,10
24,WF954,WF,1,1,0,0,Carson Beach - MA,42.3233,-71.0461,10
25,WF961,WF,1,1,0,0,East Boston - MA,42.3478,-71.0053,10
26,WF696,WF,1,1,0,0,Chatham - MA,41.688,-69.99333,10
27,WF872,WF,1,1,0,0,Wellfleet - MA,41.9291,-70.0304,10
28,WF41682,WF,1,1,0,0,Hatch Beach - MA,41.8173,-70.0042,10
29,WF19181,WF,1,1,0,0,Provincetown - MA,42.072,-70.22111,10
30,NDBC 44098,NDBC,0,0,0,1,Jeffreys Ledge - NH,42.798,-70.168,0
31,NDBC 44090,NDBC,0,0,0,1,Cape Cod Bay -MA,41.84,-70.329,0
32,NDBC 44029,NDBC-Neracoos,1,1,0,1,Mass Bay - MA,42.523,-70.566,4.0
33,NDBC 44033,NDBC,1,1,0,1,Penobscot Bay - ME,44.055,-68.996,4.0
34,NDBC 44034,NDBC,1,1,0,1,Eastern Maine Shelf-ME,44.103,-68.112,4.0
35,NDBC 44037,NDBC-Neracoos,1,1,0,1,Jordan Basin -ME,43.497,-67.876,4.0
36,NDBC 44005,NDBC,1,1,0,1,GOM -NH,43.201,-69.127,4.9
37,NDBC 44018,NDBC,1,1,0,1,Cape Cod - Provincetown - MA,42.206,-70.143,4.1
38,NDBC 44013,NDBC,1,1,0,1,Boston - MA,42.346,-70.651,3.2
39,NDBC 44027,NDBC,1,1,0,1,Jonesport Maine -ME,44.283,-67.3,5.0
40,NDBC MDRM1,NDBC,1,1,0,0,Mt. Desert Rock -ME,43.969,-68.128,22.6
41,NDBC 44011,NDBC,1,1,0,1,Georges Bank -MA,41.07,-66.588,4.1
42,NDBC MISM1,NDBC,1,1,0,0,Matinicus Rock - ME,43.784,-68.855,23.3
43,NDBC IOSN1,NDBC,1,1,0,0,Isle of Shoals,42.967,-70.623,25.0
44,NDBC 44007,NDBC,1,1,0,1,12NM SE of Portland ME,43.525,-70.14,4.1
45,NDBC BUZM3,NDBC,1,1,0,0,Buzzards Bay - MA,41.397,-71.033,25
46,NDBC 44017,NDBC,1,1,0,1,Montauk - NY,40.693,-72.049,4.1
47,NDBC 44097,NDBC,0,0,0,1,Block Island - RI,40.967,-71.126,999
48,NDBC 44020 - Nantucket Sound,NDBC,1,1,0,1,Nantucket Sound - MA,41.493,-70.279,3.8
49,NDBC 44008,NDBC,1,1,0,1,Nantucket 54NM SE,40.504,-69.248,4.1
50,NDBC 44003,NDBC,1,1,0,1,Georges Bank MA,40.8,-68.5,6.0
51,NDBC 44402,NDBC,0,0,1,0,Southeast Block Canyon - NY,39.289,-70.639,999
